"Religious Bodies","Tradition","Family","Congregations","Adherents","Adherence Rate"
"African Methodist Episcopal Church","Black Protestant","Methodist Family","3","953","0.79"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist Family","2","303","0.25"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist Family","12","3,797","3.16"
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox) Family","2","1,600","1.33"
"Armenian Apostolic Church of America (Catholicosate of Etchmiadzin)","Orthodox","Eastern Liturgical (Orthodox) Family","1","2,500","2.08"
"Assemblies of God, General Council of the","Evangelical Protestant","Pentecostal Family","24","8,762","7.29"
"Association of Vineyard Churches","Evangelical Protestant","Pentecostal Family","1","152","0.13"
"Baha'i Faith","Other","Other Groups Family","5","394","0.33"
"Brethren in Christ Church","Evangelical Protestant","Friends/Brethren Family","1","",""
"Buddhism, Mahayana","Buddhism","Buddhism Family","6","3,266","2.72"
"Buddhism, Theravada","Buddhism","Buddhism Family","2","1,382","1.15"
"Calvary Chapel","Evangelical Protestant","Pentecostal Family","1","",""
"Catholic Church","Catholic","Catholicism (Western Liturgical) Family","64","289,116","240.46"
"Christian and Missionary Alliance","Evangelical Protestant","Holiness Family","6","1,237","1.03"
"Christian Church (Disciples of Christ)","Mainline Protestant","Restorationists Family","3","555","0.46"
"Christian Churches and Churches of Christ","Evangelical Protestant","Restorationists Family","4","334","0.28"
"Christian Methodist Episcopal Church","Black Protestant","Methodist Family","1","121","0.10"
"Christian Reformed Church in North America","Evangelical Protestant","Presbyterian/Reformed Family","2","362","0.30"
"Church of Christ, Scientist","Other","Christian Science Family","6","",""
"Church of God (Anderson, Indiana)","Evangelical Protestant","Holiness Family","8","1,131","0.94"
"Church of God (Cleveland, Tennessee)","Evangelical Protestant","Pentecostal Family","10","2,366","1.97"
"Church of God in Christ","Black Protestant","Pentecostal Family","4","637","0.53"
"Church of God of Prophecy","Evangelical Protestant","Pentecostal Family","1","164","0.14"
"Church of Jesus Christ of Latter-day Saints","Other","Latter-day Saints (Mormonism) Family","11","4,378","3.64"
"Church of our Lord Jesus Christ of the Apostolic Faith, Inc.","Black Protestant","Pentecostal Family","2","",""
"Church of the Brethren","Evangelical Protestant","Friends/Brethren Family","1","101","0.08"
"Church of the Lutheran Confession","Evangelical Protestant","Lutheran Family","1","",""
"Church of the Nazarene","Evangelical Protestant","Holiness Family","11","3,014","2.51"
"Churches of Christ","Evangelical Protestant","Restorationists Family","20","5,232","4.35"
"Community of Christ","Other","Latter-day Saints (Mormonism) Family","3","501","0.42"
"Conservative Baptist Association of America (CBAmerica)","Evangelical Protestant","Baptist Family","2","",""
"Conservative Congregational Christian Conference","Evangelical Protestant","Presbyterian/Reformed Family","2","342","0.28"
"Conservative Judaism","Judaism","Judaism Family","3","5,886","4.90"
"Converge Worldwide","Evangelical Protestant","Baptist Family","4","360","0.30"
"Coptic Orthodox Church","Orthodox","Eastern Liturgical (Orthodox) Family","1","1,670","1.39"
"Elim Fellowship","Evangelical Protestant","Pentecostal Family","2","",""
"Episcopal Church","Mainline Protestant","Anglican/Episcopal Family","19","6,603","5.49"
"Ethiopian Orthodox Church in the United States of America","Orthodox","Eastern Liturgical (Orthodox) Family","3","",""
"Evangelical Covenant Church","Evangelical Protestant","Methodist Family","3","883","0.73"
"Evangelical Free Church of America","Evangelical Protestant","Methodist Family","1","90","0.07"
"Evangelical Lutheran Church in America","Mainline Protestant","Lutheran Family","25","10,566","8.79"
"Evangelical Presbyterian Church (1981)","Evangelical Protestant","Presbyterian/Reformed Family","5","936","0.78"
"Federation of Zoroastrian Associations of North America","Other","Other Groups Family","1","102","0.08"
"Free Methodist Church - USA","Evangelical Protestant","Holiness Family","6","909","0.76"
"Friends General Conference","Mainline Protestant","Friends/Brethren Family","2","40","0.03"
"Full Gospel Baptist Church Fellowship International","Black Protestant","Baptist Family","5","",""
"Fundamental Baptist Fellowship Association","Evangelical Protestant","Baptist Family","1","",""
"General Association of Regular Baptist Churches","Evangelical Protestant","Baptist Family","6","",""
"Greek Orthodox Archdiocese of America","Orthodox","Eastern Liturgical (Orthodox) Family","3","3,000","2.50"
"Hindu, Post Renaissance","Hinduism","Hinduism Family","5","143","0.12"
"Hindu, Traditional Temples","Hinduism","Hinduism Family","2","1,150","0.96"
"Independent Baptist Fellowship International","Evangelical Protestant","Baptist Family","2","",""
"Independent Fundamental Churches of America","Evangelical Protestant","Independent Fundamentalist Family","2","",""
"Indian-American Hindu Temple Association","Hinduism","Hinduism Family","4","440","0.37"
